epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.32199,1.75481,4.96675,2.03967,0.002,0.75,0.08341,0.05791,1.24055,4.1274,1.26441,2e-05,2e-05,2e-05
2,2.63498,1.45961,3.75379,1.52401,0.002,0.75,0.12425,0.0865,1.20352,4.03519,1.18613,5.8812e-05,5.8812e-05,5.8812e-05
3,2.92772,1.2268,3.90418,1.36361,0.00267,1,0.12584,0.08692,1.11678,3.93723,1.16103,9.604e-05,9.604e-05,9.604e-05
4,3.21842,1.82326,4.10007,2.1021,0.00267,1,0.12567,0.087,1.11651,3.91925,1.15933,0.000131684,0.000131684,0.000131684
5,3.51139,1.4371,3.58916,1.59094,0.00267,1,0.34774,0.24317,1.07679,3.75022,1.03336,0.000165744,0.000165744,0.000165744
6,3.81126,1.08255,3.13149,1.31125,0.00267,1,0.41438,0.28978,1.11925,3.60811,1.06523,0.00019822,0.00019822,0.00019822
7,4.10203,1.25491,2.81124,1.5543,0.00267,1,0.37819,0.21648,1.1967,3.52565,1.10979,0.000229112,0.000229112,0.000229112
8,4.36996,1.35872,2.54516,1.31965,0.00267,1,0.53071,0.28848,1.43706,3.60872,1.14841,0.00025842,0.00025842,0.00025842
9,4.63361,1.36018,4.08826,1.51262,0.00267,1,0.72,0.31599,1.39181,3.98375,1.11923,0.000286144,0.000286144,0.000286144
10,4.9305,1.21959,2.51666,1.31785,0.00267,1,0.945,0.44261,1.48555,3.79293,1.12227,0.000312284,0.000312284,0.000312284
11,5.30779,1.17974,2.75433,1.32522,0.00267,1,0.995,0.47102,1.45517,3.81406,1.10503,0.00033684,0.00033684,0.00033684
12,5.66594,1.28789,2.13108,1.18288,0.00267,1,0.995,0.48459,1.40372,3.89357,1.15217,0.000359812,0.000359812,0.000359812
13,5.98508,1.11709,3.23707,1.42288,0.00267,1,0.945,0.45728,1.38818,3.81494,1.19641,0.0003812,0.0003812,0.0003812
14,6.24815,1.33842,2.53426,1.2775,0.00267,1,0.70382,0.35562,1.40335,3.75865,1.15108,0.000401004,0.000401004,0.000401004
15,6.50808,1.4295,2.4602,1.55715,0.00267,1,0.74917,0.41167,1.33386,3.6667,1.06968,0.000419224,0.000419224,0.000419224
16,6.79263,1.1929,1.70106,1.30813,0.00267,1,0.945,0.56855,1.24983,3.65537,1.0488,0.00043586,0.00043586,0.00043586
17,7.08373,1.19689,1.62191,1.17199,0.00267,1,0.995,0.70265,1.27302,3.61381,1.0333,0.000450912,0.000450912,0.000450912
18,7.37604,1.00184,1.66704,1.20949,0.00267,1,0.945,0.61653,1.25035,3.54759,1.01201,0.00046438,0.00046438,0.00046438
19,7.62691,1.20213,2.3995,1.22077,0.00267,1,0.995,0.64605,1.28189,3.53396,1.01637,0.000476264,0.000476264,0.000476264
20,7.90005,1.09012,1.97579,1.29602,0.00267,1,0.995,0.64653,1.2827,3.64647,1.01881,0.000486564,0.000486564,0.000486564
21,8.15965,1.15527,2.28556,1.0634,0.00267,1,0.82833,0.52573,1.25131,3.83081,1.04115,0.00049528,0.00049528,0.00049528
22,8.4279,1.21564,2.58833,1.11893,0.00267,1,0.68383,0.38546,1.19567,3.82894,1.0659,0.000502412,0.000502412,0.000502412
23,8.68647,1.21236,2.27196,1.33432,0.0048,0.92737,0.62129,0.38534,1.17133,3.71695,1.07411,0.00050796,0.00050796,0.00050796
24,8.95994,1.2217,2.47188,1.24916,0.51258,0.25,0.56296,0.32644,1.18455,3.64038,1.10959,0.000511924,0.000511924,0.000511924
25,9.22683,1.14027,1.99544,1.1407,1,0.47427,0.55396,0.27522,1.22709,3.53181,1.15676,0.000514304,0.000514304,0.000514304
26,9.50817,1.02224,1.59421,1.09624,1,0.3827,0.49771,0.29874,1.28247,3.56926,1.16783,0.0005151,0.0005151,0.0005151
27,9.77405,0.97069,1.49476,1.04196,0.92759,0.25,0.41409,0.25671,1.36286,3.61626,1.23225,0.000514312,0.000514312,0.000514312
28,10.0479,1.07762,1.80331,1.14555,0.92759,0.25,0.41409,0.25671,1.36286,3.61626,1.23225,0.00051194,0.00051194,0.00051194
29,10.3124,1.02357,1.77462,1.19827,0.93429,0.25,0.41481,0.25715,1.41157,3.7097,1.22689,0.000507984,0.000507984,0.000507984
30,10.6138,1.07084,1.57048,1.05791,0.86977,0.25,0.3785,0.265,1.22934,3.79543,1.12642,0.000502444,0.000502444,0.000502444
31,10.87,1.37807,1.95741,1.56101,0.86977,0.25,0.3785,0.265,1.22934,3.79543,1.12642,0.00049532,0.00049532,0.00049532
32,11.1536,0.95765,1.69662,1.1336,0.5948,0.3922,0.48859,0.28031,1.16567,3.71197,1.09146,0.000486612,0.000486612,0.000486612
33,11.4315,1.18527,1.7439,1.25026,0.60337,0.40505,0.60929,0.39016,1.19565,3.51613,1.08237,0.00047632,0.00047632,0.00047632
34,11.6934,1.19763,1.51559,1.12841,0.60337,0.40505,0.60929,0.39016,1.19565,3.51613,1.08237,0.000464444,0.000464444,0.000464444
35,11.9743,0.91374,1.74839,0.89991,0.63219,0.44828,0.64778,0.40517,1.1634,3.40182,1.07673,0.000450984,0.000450984,0.000450984
36,12.2311,0.91941,1.68803,1.02498,0.66023,0.49035,0.745,0.4663,1.20179,3.22034,1.08854,0.00043594,0.00043594,0.00043594
37,12.4699,0.77404,1.29939,1.00967,0.66023,0.49035,0.745,0.4663,1.20179,3.22034,1.08854,0.000419312,0.000419312,0.000419312
38,12.7138,1.00042,1.58898,1.20602,1,0.56891,0.88786,0.58213,1.18801,3.23768,1.10216,0.0004011,0.0004011,0.0004011
39,12.9725,0.84152,1.3486,1.01352,1,0.68938,0.91167,0.63791,1.18038,3.13664,1.09539,0.000381304,0.000381304,0.000381304
40,13.21,0.85445,1.55596,1.07213,1,0.68938,0.91167,0.63791,1.18038,3.13664,1.09539,0.000359924,0.000359924,0.000359924
41,14.186,0.9108,1.81766,1.09769,1,0.7371,0.945,0.67788,1.12682,3.0471,1.09444,0.00033696,0.00033696,0.00033696
42,14.6159,0.81041,1.79505,1.09115,1,0.71548,0.91167,0.65455,1.14095,3.00393,1.13548,0.000312412,0.000312412,0.000312412
43,14.9317,0.98955,1.81719,1.07161,1,0.71548,0.91167,0.65455,1.14095,3.00393,1.13548,0.00028628,0.00028628,0.00028628
44,15.2074,0.75887,1.70392,1.05182,0.73688,0.71065,0.845,0.61748,1.16044,3.02936,1.14017,0.000258564,0.000258564,0.000258564
45,15.4479,0.70578,1.58171,0.99724,0.73688,0.71065,0.845,0.61748,1.16044,3.02936,1.14017,0.000229264,0.000229264,0.000229264
46,15.7048,0.81314,1.57552,0.95627,0.73287,0.69862,0.845,0.59765,1.22936,2.94392,1.13883,0.00019838,0.00019838,0.00019838
47,15.933,0.77816,1.6651,1.04277,0.73287,0.69862,0.845,0.59765,1.22936,2.94392,1.13883,0.000165912,0.000165912,0.000165912
48,16.2033,0.75359,1.5644,0.9472,0.74515,0.73546,0.845,0.59765,1.25979,2.87983,1.13555,0.00013186,0.00013186,0.00013186
49,16.4368,0.74749,1.57152,0.97674,0.74515,0.73546,0.845,0.59765,1.25979,2.87983,1.13555,9.6224e-05,9.6224e-05,9.6224e-05
50,16.7264,0.91878,1.83657,1.13357,0.98152,1,0.995,0.70265,1.25881,2.7781,1.12309,5.9004e-05,5.9004e-05,5.9004e-05
